epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,628.925,1.70391,2.67487,1.1233,0.63892,0.58947,0.61358,0.3566,1.6686,1.34318,1.01656,0.000368518,0.000368518,0.000368518
2,1209.4,1.58849,1.40275,1.1116,0.65138,0.59945,0.63005,0.36545,1.60742,1.24254,1.00575,0.000714469,0.000714469,0.000714469
3,1798.45,1.57397,1.14321,1.1014,0.77739,0.63971,0.68147,0.41299,1.58882,1.06556,1.0134,0.00103598,0.00103598,0.00103598
4,2378.99,1.54585,1.04857,1.09722,0.74301,0.68866,0.70537,0.41809,1.58516,0.97752,1.00343,0.00100101,0.00100101,0.00100101
5,2971.56,1.50451,0.98281,1.08261,0.80052,0.72117,0.7653,0.46811,1.49978,0.90497,0.97468,0.000964348,0.000964348,0.000964348
6,3576.85,1.46214,0.92863,1.06387,0.81272,0.75852,0.78639,0.48068,1.46536,0.8052,0.96869,0.000927685,0.000927685,0.000927685
7,4182.18,1.44765,0.90129,1.06156,0.80449,0.77745,0.7937,0.4899,1.46829,0.83275,0.97711,0.000891022,0.000891022,0.000891022
8,4779.53,1.42411,0.876,1.05203,0.83896,0.78193,0.81964,0.50104,1.47309,0.80117,0.97131,0.000854359,0.000854359,0.000854359
9,5366.16,1.4125,0.85555,1.04687,0.8232,0.76828,0.80716,0.4996,1.44682,0.82579,0.96403,0.000817696,0.000817696,0.000817696
10,5954.86,1.40071,0.84086,1.04174,0.82893,0.7953,0.82167,0.5093,1.4438,0.776,0.96386,0.000781033,0.000781033,0.000781033
11,6549.85,1.37888,0.82808,1.03683,0.84371,0.78167,0.81183,0.50666,1.43074,0.7807,0.96519,0.00074437,0.00074437,0.00074437
12,7139.7,1.36373,0.8081,1.03275,0.8569,0.81006,0.83966,0.5274,1.38337,0.73893,0.95037,0.000707707,0.000707707,0.000707707
13,7716.3,1.35721,0.80008,1.03143,0.86223,0.82541,0.84414,0.5359,1.39869,0.72957,0.95862,0.000671044,0.000671044,0.000671044
14,8290.52,1.34746,0.78658,1.02281,0.86006,0.82655,0.84365,0.53133,1.39649,0.72694,0.95241,0.000634381,0.000634381,0.000634381
15,8853.19,1.3371,0.78238,1.02501,0.87055,0.8274,0.84713,0.53622,1.37856,0.72103,0.95051,0.000597718,0.000597718,0.000597718
16,9412,1.32654,0.76716,1.01469,0.86155,0.83681,0.85159,0.54187,1.38063,0.71232,0.95381,0.000561055,0.000561055,0.000561055
17,9974,1.31946,0.75803,1.01727,0.84397,0.84098,0.84533,0.53502,1.37993,0.71632,0.95405,0.000524392,0.000524392,0.000524392
18,10537.5,1.3071,0.74754,1.00963,0.85379,0.83492,0.84704,0.53568,1.36194,0.7086,0.94162,0.000487729,0.000487729,0.000487729
19,11102.9,1.28747,0.73334,1.00303,0.88925,0.84183,0.86346,0.5536,1.35533,0.68886,0.94011,0.000451066,0.000451066,0.000451066
20,11666,1.2845,0.72691,1.00249,0.85322,0.84455,0.85058,0.54589,1.35721,0.703,0.94408,0.000414403,0.000414403,0.000414403
21,12211.9,1.24017,0.66337,0.99189,0.86679,0.83344,0.85305,0.54548,1.35977,0.70835,0.94381,0.00037774,0.00037774,0.00037774
22,12737.9,1.22708,0.64617,0.98769,0.87585,0.84813,0.85628,0.55138,1.34935,0.68953,0.9445,0.000341077,0.000341077,0.000341077
23,13262.5,1.21181,0.63354,0.9796,0.87601,0.85611,0.85964,0.55696,1.35072,0.6758,0.94565,0.000304414,0.000304414,0.000304414
24,13787.5,1.20145,0.62816,0.9754,0.87358,0.85315,0.86078,0.55629,1.34879,0.6746,0.94553,0.000267751,0.000267751,0.000267751
25,14313.2,1.1736,0.60901,0.96639,0.87763,0.85559,0.86359,0.56386,1.33971,0.6707,0.94209,0.000231088,0.000231088,0.000231088
26,14839,1.15926,0.60243,0.96422,0.87314,0.85483,0.86202,0.5626,1.33911,0.67072,0.94017,0.000194425,0.000194425,0.000194425
27,15364.9,1.16048,0.5927,0.96172,0.874,0.8541,0.86203,0.56304,1.3383,0.66443,0.94201,0.000157762,0.000157762,0.000157762
28,15888.6,1.13428,0.58542,0.95737,0.87363,0.85323,0.86176,0.56183,1.33741,0.66088,0.94287,0.000121099,0.000121099,0.000121099
29,16412,1.13078,0.57749,0.95478,0.87553,0.86326,0.86607,0.5701,1.32695,0.64948,0.93931,8.4436e-05,8.4436e-05,8.4436e-05
30,16936.4,1.12061,0.57065,0.95018,0.87545,0.86279,0.86505,0.56788,1.33108,0.65072,0.94073,4.7773e-05,4.7773e-05,4.7773e-05
